Id,CreatedAt,CreatedBy,ModifiedAt,ModifiedBy,Name,Symbol
42dd5963-c363-473d-4281-f1f61ca45826,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Maltese Pound,MTP
82b90459-3ad9-4e69-4a55-5ef55624f431,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mark der DDR,DDM
d3c637e3-a265-4e79-4623-2fdbccf17acd,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Markka,FIM
3d155583-9995-4a88-4f3c-632e4ac06905,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mauritius Rupee,MUR
b7e344d5-2444-45c3-42f2-337e1e88ed60,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mexican Peso,MXN
d2d3b79f-bb3a-46b1-4ff8-82d9860f3571,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mexican Unidad de Inversion (UDI),MXV
0c22ddcc-e39b-4baf-4e89-14f2b26e091c,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Moldovan Leu,MDL
8958f53b-d174-4794-48d6-e1efbf671da7,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Moroccan Dirham,MAD
f971251d-b499-457c-4808-9a773135b91e,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mozambique Escudo,MZE
ab689940-8375-42ad-4943-a2bb2e62b557,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mozambique Metical,MZN
93a70c97-1ab6-4608-435f-ff818cc5f676,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Mvdol,BOV
7b13774a-dcd7-411f-4743-5b7c0009305c,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Naira,NGN
1203e537-680c-49c3-42be-a0b6f3099bd7,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Nakfa,ERN
1b68ca14-9c97-46dd-48cf-339c26ee6579,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Namibia Dollar,NAD
a2e4aedd-da5b-4bdd-4178-dc0961de1531,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Nepalese Rupee,NPR
defe0315-131d-4c2b-4492-e95aa56c8e4f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Netherlands Antillean Guilder,ANG
e6755e53-065b-45c5-40bb-817de974fe57,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Netherlands Guilder,NLG
ca0c7d3f-d71e-4366-4fe5-d73d64b8fadd,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Cruzado,BRN
9322cd26-b488-47d3-4964-2f8456de1ecf,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Dinar,YUM
99857c88-ac3d-47f4-4fb4-b3a9eb311acc,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Israeli Sheqel,ILS
d702e989-3693-4b1d-4c42-ef07fb083b81,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Kwanza,AON
857e6131-b3a9-4af1-4468-010bc9da4642,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Romanian Leu ,RON
649422da-2b36-4935-496c-e1ccbcdf2eba,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Taiwan Dollar,TWD
eb0e7610-7dce-4637-42f9-3d0d62b7f213,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Turkish Lira,TRY
00561182-fe84-4510-403d-871bb4f53109,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Yugoslavian Dinar,YUD
7af37512-2585-4516-4911-33572ad01e00,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Zaire,ZRN
d10f8c3e-40f6-4704-4e71-57b5c1d462c0,3/4/2024,SYSTEM,3/4/2024,SYSTEM,New Zealand Dollar,NZD
1b32b4a4-fa62-46de-421c-d63f3c1fa20b,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Ngultrum,BTN
774b0078-0d71-4ce5-4c1f-aed256eb14ba,3/4/2024,SYSTEM,3/4/2024,SYSTEM,North Korean Won,KPW
0e92e48d-d473-4c90-451a-2d2bf561e4bb,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Norwegian Krone,NOK
b73ffe6d-f171-479a-4ee0-34a61fc047cb,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Nuevo Sol ,PEN
6c52b2b5-bb8b-4065-458f-bcc5f6a0601a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Dong,VNC
d401dd97-c09d-41fd-4e23-e928600121e2,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Krona,ISJ
4d3135fb-e787-44c4-49de-7b30102522e1,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Lek,ALK
7284cfdc-0833-422c-4a33-1b262e68fdca,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Leu,ROL
ef404e86-1486-4a86-4a55-94c172b9cce5,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Shekel,ILR
32e38c51-8a37-4bb0-4551-cfa1c6ebb64a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Shilling,UGW
ade20ba4-dd9a-445f-4bf2-0ae273a93591,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Turkish Lira,TRL
eb79cbd3-e942-43e2-4f7a-cc8dd0b30761,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Old Uruguay Peso,UYN
b140e3d0-49cb-4e42-4e2e-85079cd56635,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Ouguiya,MRU
